,address,sqm,sqm0,rooms,floor,info,price,more,views,additional,additional0,facilities,data-lat,data-lng,adddate,editdate,id
5548," Yerevan, Center, D. Demirchyan St ",Area 96 SQ. M.Room 3Floor/Storeys 1/12,,,,"3 bedrooms apartment for sale in D. Demirchyan St, Center, Yerevan, 127247","160,000  / SQ. M. 1,667","Price (SQ. M.) 1,667Bathroom1Building typePanel Ceiling height2.8 MconditionGood ",1103,,,,40.1895657,44.5075706,Added in 29.11.2022 ,Edited in 20.02.2023 ,127247
5549," Yerevan, Center, Antarayin St ",Area 176 SQ. M.Room 3Floor/Storeys 5/9,,,,"3 bedrooms apartment for rent in Antarayin St, Center, Yerevan, 128731","1,400",Bathroom1Building typeOther Ceiling height3 MconditionNewly repaired ,813,"Furniture--Equipment--Euro windows--Laminate flooring--Sunny--View--Roadside--Close to the bus station--Playground--Park--
","Heating--Internet--Hot water--Electricity--Air-conditioner--Water--water 24/7--
","Heating--Internet--Hot water--Electricity--Air-conditioner--Water--water 24/7--
",40.1941889,44.5090497,Added in 01.02.2023 ,Edited in 01.02.2023 ,128731
5550," Yerevan, Arabkir, Nikol Duman St ",Area 105 SQ. M.Room 3Floor/Storeys 5/9,,,,"3 bedrooms apartment for rent in Nikol Duman St, Arabkir, Yerevan, 120985","1,100",Bathroom1Building typePanel Ceiling height3 MconditionNewly repaired ,2175,,,,40.1972227,44.4901705,Added in 18.04.2022 ,Edited in 18.04.2022 ,120985
5551," Yerevan, Avan, N. Safaryan St ",Area 689 SQ. M.,,,,"Land for sale sale in N. Safaryan St, Avan, Yerevan, 130954","123,571  / SQ. M. 179",Price (SQ. M.) 179,480,,,,40.2147308,44.586007,Added in 16.03.2023 ,Edited in 16.03.2023 ,130954
5552," Yerevan, Davtashen, Mikoyan St ",Area 97 SQ. M.Room 2Floor/Storeys 10/12,,,,"2 bedrooms apartment for sale in new construction in Mikoyan St, Davtashen, Yerevan, 127285","194,000  / SQ. M. 2,000","Price (SQ. M.) 2,000Bathroom1Building typeMonolit Ceiling height3 MconditionNewly repaired ",1411,"Euro windows--Open balcony--Tile--Laminate flooring--Park--Elevator--
","Heating--Hot water--Electricity--Air-conditioner--Gas--water 24/7--
","Heating--Hot water--Electricity--Air-conditioner--Gas--water 24/7--
",40.2181019,44.4986442,Added in 30.11.2022 ,Edited in 22.04.2023 ,127285
5553," Yerevan, Arabkir, N. Zaryan St ",Area 101 SQ. M.Room 3Floor/Storeys 7/17,,,,"3 bedrooms apartment for sale in new construction in N. Zaryan St, Arabkir, Yerevan, 127947","305,000  / SQ. M. 3,020","Price (SQ. M.) 3,020Bathroom2Building typeMonolit Ceiling height3 MconditionNewly repaired ",1045,"Open balcony--Equipment--Furniture--
","water 24/7--Electricity--Internet--Hot water--Gas--Heating--Water--
","water 24/7--Electricity--Internet--Hot water--Gas--Heating--Water--
",40.2034531,44.5174651,Added in 22.12.2022 ,Edited in 22.12.2022 ,127947
5554," Yerevan, Center, Amiryan St ",Area 66 SQ. M.Room 4Floor/Storeys 1/5,,,,"4 bedrooms apartment for rent in Amiryan St, Center, Yerevan, 122942","1,300",Bathroom1Building typeOther Ceiling height2.8 MconditionGood ,1094,,,,40.1806224,44.5081781,Added in 22.06.2022 ,Edited in 05.12.2022 ,122942
5555," Yerevan, Center, Isahakyan St ",Area 73 SQ. M.Room 2Floor/Storeys 5/5,,,,"2 bedrooms apartment for rent in Isahakyan St, Center, Yerevan, 125312","2,000",Bathroom1Building typeStone Ceiling height3.2 MconditionNewly repaired ,1750,"Furniture--Equipment--Euro windows--Iron door--Tile--Parquet--Sunny--View--Roadside--Close to the bus station--Park--
","Heating--Hot water--Electricity--Gas--Water--water 24/7--
","Heating--Hot water--Electricity--Gas--Water--water 24/7--
",40.1894935,44.5161913,Added in 05.09.2022 ,Edited in 05.09.2022 ,125312
5556," Yerevan, Center, Northern (Hyusisayin) Ave ",Area 450 SQ. M.Floor/Storeys 1/10,,,,"Commercial propertyfor rent in new construction in Northern (Hyusisayin) Ave, Center, Yerevan, 131405",on request  ,Into building450 SQ. M.Building typeMonolit Ceiling height3.2 MconditionZero condition ,430,,,,40.1809189,44.5139213,Added in 17.03.2023 ,Edited in 17.03.2023  ,131405
5557," Yerevan, Arabkir, Aghbyur Serob St ",Area 42 SQ. M.Room 2Floor/Storeys 2/10,,,,"2 bedrooms apartment for sale in Aghbyur Serob St, Arabkir, Yerevan, 127332","110,000  / SQ. M. 2,619","Price (SQ. M.) 2,619Bathroom1Building typePanel Ceiling height2.8 MconditionNewly repaired ",1045,"Furniture--Equipment--Euro windows--Iron door--Storage room--Tile--Laminate flooring--Sunny--Playground--Elevator--
","Heating--Internet--Hot water--Electricity--Air-conditioner--Gas--Water--water 24/7--
","Heating--Internet--Hot water--Electricity--Air-conditioner--Gas--Water--water 24/7--
",40.196658,44.5035526,Added in 30.11.2022 ,Edited in 30.11.2022 ,127332
5558," Yerevan, Arabkir, Griboedov St ",Area 100 SQ. M.Room 5Storeys 2,,,," for sale in Griboedov St, Arabkir, Yerevan, 55614","626,000  / SQ. M. 6,260","Home space188 SQ. M.Land area100 SQ. M.Price (SQ. M.) 6,260Bathroom2Building typeStone Ceiling height2.8 MconditionNewly repaired ",9732,"Euro windows--Roadside--Close to the bus station--Gate--
","Heating--Internet--Hot water--Irrigation--Sewerage, Canalization--Electricity--Gas--Water--water 24/7--
","Heating--Internet--Hot water--Irrigation--Sewerage, Canalization--Electricity--Gas--Water--water 24/7--
",40.2090405,44.5137852,Added in 07.04.2018 ,Edited in 24.08.2022 ,55614
5559," Kotayk, Arinj, Arinj ",Area 1770 SQ. M.Room 5Storeys 2,,,,"New build for sale in Arinj, Arinj, Kotayk, 128131","275,000  / SQ. M. 155",Home space205 SQ. M.Land area1770 SQ. M.Price (SQ. M.) 155Bathroom2Building typeStone Ceiling height3 MconditionNewly repaired ,825,"Furniture--Equipment--Euro windows--Iron door--Storage room--Attic--Basement--Tile--Laminate flooring--Sunny--Bilateral--Roadside--Parking--Building existence--Gate--
","Heating--Internet--Hot water--Electricity--Central heating--Gas--Water--water 24/7--
","Heating--Internet--Hot water--Electricity--Central heating--Gas--Water--water 24/7--
",40.2336869,44.5820672,Added in 09.01.2023 ,Edited in 09.01.2023 ,128131
