,address,rooms,floor,info,price,views,Lat,Lng,adddate,editdate,ListingID_NK,Sqm,pricebysqm,addyear,edityear,addmonth,editmonth,addday,editday,addquarter,editquarter,platform,housetype,type,City,DistrictStreet,District,Street,eurowindows,irondoor,openbalcony,securitysystem,sunny,view,roadside,closetothebusstation,parking,park,elevator,furniture,equipment,balcony,storageroom,playground,parquet,tile,laminateflooring,heating,hotwater,electricity,centralheating,water,water247,gas,airconditioner,sewerage,logha,garage,internet
4063," Yerevan, Center, Mashtots Ave ",nan,1/5,"Commercial propertyfor rent in Mashtots Ave, Center, Yerevan, 130618",7000,427.0,40.183333,44.516667,2023-03-11,2023-03-11,130618.0,245,,2023,2023,11,11,3,3,4,4,MyRealty.am,property,rent, Yerevan," Center,  Mashtots Ave ", Center, Mashtots Ave ,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
4064," Yerevan, Center, Antarayin St ", 3, 3/6,"3 bedrooms apartment for rent in new construction in Antarayin St, Center, Yerevan, 125253",2500,1810.0,40.1936828,44.5065926,2022-09-12,2022-09-12,125253.0,110,,2022,2022,12,12,9,9,4,4,MyRealty.am,apartment,rent, Yerevan," Center,  Antarayin St ", Center, Antarayin St ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4065," Yerevan, Achapnyak, Shiraz St ", 3,," house for rent in Shiraz St, Achapnyak, Yerevan, 132956",1500,186.0,40.2047808,44.4634902,2023-04-25,2023-04-25,132956.0,118,,2023,2023,4,4,25,25,2,2,MyRealty.am,house,rent, Yerevan," Achapnyak,  Shiraz St ", Achapnyak, Shiraz St ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4066," Yerevan, Center, Ler. Kamsar St ", 4, 2/9,"4 bedrooms apartment for sale in new construction in Ler. Kamsar St, Center, Yerevan, 128562",275000  ,1252.0,40.183333,44.516667,2023-01-26,2023-01-26,128562.0,107,2570.0,2023,2023,1,1,26,26,1,1,MyRealty.am,apartment,sale, Yerevan," Center,  Ler. Kamsar St ", Center, Ler. Kamsar St ,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4067," Yerevan, Center, Saryan St ", 3, 7/8,"3 bedrooms apartment for rent in new construction in Saryan St, Center, Yerevan, 132283",1800,320.0,40.183333,44.516667,2023-04-10,2023-04-10,132283.0,75,,2023,2023,10,10,4,4,4,4,MyRealty.am,apartment,rent, Yerevan," Center,  Saryan St ", Center, Saryan St ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4068," Yerevan, Arabkir, A. Avetisyan St ", 6, 5/6,"6 bedrooms apartment for sale in A. Avetisyan St, Arabkir, Yerevan, 127402",550000  ,1117.0,40.1979912,44.4998781,2022-12-03,2022-12-03,127402.0,340,1618.0,2022,2022,3,3,12,12,1,1,MyRealty.am,apartment,sale, Yerevan," Arabkir,  A. Avetisyan St ", Arabkir, A. Avetisyan St ,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
4069," Yerevan, Center, Yekmalyan St ", 4, 3/10,"4 bedrooms apartment for sale in new construction in Yekmalyan St, Center, Yerevan, 96331",400000  ,5095.0,40.1847209,44.5085348,2020-03-21,2022-12-29,96331.0,130,3077.0,2020,2022,3,12,21,29,1,4,MyRealty.am,apartment,sale, Yerevan," Center,  Yekmalyan St ", Center, Yekmalyan St ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4070," Yerevan, Center, Aram St ", 4, 5/17,"4 bedrooms apartment for rent in new construction in Aram St, Center, Yerevan, 132200",5000,418.0,40.183333,44.516667,2023-04-08,2023-04-08,132200.0,180,,2023,2023,8,8,4,4,3,3,MyRealty.am,apartment,rent, Yerevan," Center,  Aram St ", Center, Aram St ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4071," Yerevan, Center, Zakyan St ",nan,1/5,"Commercial propertyfor rent in Zakyan St, Center, Yerevan, 130385",1800,540.0,40.1770578,44.5063825,2023-03-08,2023-03-08,130385.0,120,,2023,2023,8,8,3,3,3,3,MyRealty.am,property,rent, Yerevan," Center,  Zakyan St ", Center, Zakyan St ,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4072," Yerevan, Arabkir, Yerznkyan St ",nan,1/4,"Commercial propertyfor rent in new construction in Yerznkyan St, Arabkir, Yerevan, 128865",on request ,566.0,40.1964721,44.4929187,2023-02-06,2023-02-06,128865.0,160,,2023,2023,6,6,2,2,2,2,MyRealty.am,property,rent, Yerevan," Arabkir,  Yerznkyan St ", Arabkir, Yerznkyan St ,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
